,Признак,коэффициент Спирмана,feature importance
294,ALAS_hsv_full_max,-0.06707954935326235,0.2871108332624811
416,S_hsv_h_Q65,-0.0658595500637602,0.17153015072387565
409,ALAS_sobelx8u_g_std,-0.06519253767137251,0.14546639860626612
339,I_sobely2_r_mode,-0.0651347681254625,0.0968199490986754
240,S_yuv_u_Q65,0.06501358895248979,0.1881056171785362
405,S_rgb_b_min,-0.06360156639229862,0.1907826942100041
242,S_sobely2_g_mode,-0.06273379238025721,0.19414853869188298
397,S_xyz_x_max,0.0620977016002869,0.19310601754083656
182,ALAS_hsv_v_mode,-0.0619070325861737,0.18006921888075964
105,area_2_70_ellipse_0.95,-0.06073647291084587,0.24316642512805717
35,ALAS_sobely2_r_mode,-0.06063002728245623,0.3337933303089722
412,ALAS_laplacian_r_mean,-0.06008627220059191,0.2104531168879753
157,I_hsv_full_Q40,-0.06005777487915765,0.2739518137006015
290,ALAS_sobelx8u_full_std,-0.05982484933421348,0.29564657600792965
20,hu6,-0.059777229993118214,0.5515732734156581
175,S_hsv_full_Q60,-0.059679389971488944,0.3103693432921378
354,I_hsv_h_Q30,-0.05951118307044724,0.12459533768288845
401,S_laplacian_g_median,-0.05925605632195173,0.136972299793155
123,S_sobely_b_mode,-0.058983621911130345,0.22380236810749837
57,L_hsv_h_max,0.05890453706168942,0.34496666545663635
341,L_laplacian_full_Q25,-0.05871662406924305,0.1449276915047633
58,S_hsv_full_Q55,-0.05805101878729755,0.3027137966452681
109,I_sobely2_b_mode,-0.05755186323320423,0.3012093974313238
312,S_laplacian_r_Q65,-0.05711880450245098,0.16150277538542873
361,I_laplacian_r_Q90,-0.05668194241675837,0.22380205108400655
122,ALAS_laplacian_r_std,0.056402455977434034,0.21965708959656938
117,S_hsv_full_Q50,-0.05534650696322741,0.23040031057564977
94,I_yuv_v_std,0.05408546131335023,0.207719111106943
207,I_hsv_full_Q35,-0.05396088429023908,0.1200268718412521
69,ALAS_sobely_full_mode,-0.05382822060940477,0.23253584715092793
335,S_hsv_full_Q25,-0.052823965834457635,0.1386074742832635
181,S_sobely_full_mode,-0.052643767124406236,0.16913641896822706
52,S_sobelx2_g_mode,-0.05229082078272087,0.13597261817804882
81,L_sobely2_r_mode,-0.0522542283470375,0.2210919393243428
287,S_hsv_full_Q40,-0.05219996219174996,0.12208600460958895
153,I_hsv_h_mode,-0.051149135348955654,0.20826918862049376
10,L_yuv_v_max,-0.050910542188815563,0.3931558559006778
219,S_laplacian_r_Q75,-0.05035061359244707,0.12864012544977405
103,I_sobelx8u_full_std,0.050344233324160936,0.12963114158906003
